ID,galaxy,label,xcentroid,ycentroid,sky_centroid.ra,sky_centroid.dec,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,segment_flux,kron_flux,label_z,xcentroid_z,ycentroid_z,area_z,semimajor_sigma_z,semiminor_sigma_z,orientation_z,eccentricity_z,min_value_z,max_value_z,segment_flux_z,kron_flux_z,CI5_g,CI5_z,m5_g,m5_z,CI4_g,CI4_z,m4_g,m4_z,CI_g,CI_z,m3_g,m3_z,fwhm,e_fwhm,colour
1113,NGC1427a,5533,3371.491028285459,3242.0934767337662,55.03150668845852,-35.61766016097951,8.0,0.7989153988480878,0.6902111700633081,-2.521406869164117,0.503602913139387,0.01661079561321,0.0587543300292069,0.2714224316780019,0.3489636236712166,3391,3369.948182085512,3242.4815064868267,6.0,0.78308401955185,0.4991760044463517,-2.083782501647379,0.7704926793668877,0.02329532618426,0.0678603815046128,0.2228323312842227,0.3980763926109152,0.8497955020182779,0.8926370208229493,27.27110574549985,26.074571489897306,0.9534066935050484,1.03746308975634,27.16749455401308,25.929745420963915,1.067928539168726,1.0522062360050448,27.0529727083494,25.91500227471521,2.519018090907209,0.156500936861544,1.137970433634191
1114,NGC1427a,5534,3596.0,3241.4886935534914,55.02767091604103,-35.617668242210144,2.0,0.5772395495811807,0.2886751345948128,-90.0,0.8659700262809122,0.0245443524489646,0.0311264131613827,0.0556707656103473,0.2032058162297951,3386,3595.0081446738864,3241.1766218141265,6.0,0.9532711945931192,0.4640073387890552,37.43706981042864,0.8735398089502477,0.0217610102250136,0.0400523118597942,0.1755468562845384,0.4720791828555055,0.9203100398441856,1.90255077948688,27.926688201586344,25.571820566079857,1.116181787218867,1.780484452905423,27.730816454211663,25.693886892661315,1.118387416507563,1.5489074542405206,27.728610824922967,25.925463891326217,2.742550488571198,0.4847275166624201,1.80314693359675
1115,NGC1427a,5535,3406.2996494667154,3242.973256656112,55.0309119790083,-35.61764790039061,7.0,0.7365549987598746,0.6563592117342932,84.94525748017979,0.4537668655794273,0.0284136109294101,0.04607070886162,0.2524006132741544,0.3862648807244012,3389,3405.494903241445,3242.638815529647,12.0,1.0530933675041236,0.8013241920207246,51.59725664792863,0.6488408234137714,0.011586834228634,0.0587979694661229,0.3444050646184646,0.5054808046685291,1.4212269153604673,1.4168558786264214,26.865387870985437,25.538512111392237,1.3972827088685804,1.4542540339627337,26.88933207747732,25.50111395605592,1.2701368855918602,1.3609101370838277,27.01647790075404,25.594457852934827,2.8338904387852235,0.2727073421806146,1.422020047819213
1116,NGC1427a,5542,3293.692260170182,3245.676878494813,55.03283589692434,-35.61761047352971,3.0,0.5615628980771802,0.3411702456799262,-45.817689246893664,0.7942913683900158,0.0281359601902504,0.0627541033342459,0.1243437741350923,0.3186614046032467,3394,3293.293663588081,3245.422910692878,13.0,0.990196420727009,0.8464568095223063,40.23160811836773,0.5188961689114231,0.0093921826311266,0.0770630205132511,0.4572557052590067,0.6897004920778026,1.888304795710148,1.232813872793777,26.45596053662544,25.339544797521924,1.3916774659620614,1.1316905705765272,26.952587866373523,25.44066809973917,1.003967650243883,1.067339761149995,27.340297682091705,25.505018909165702,0.0,0.0,1.835278772925996
1117,NGC1427a,5543,3421.965557539955,3247.4554026088363,55.03064433154128,-35.617585628768225,30.0,1.2719467664820785,1.143718620381864,58.370846960782224,0.4375635471631172,0.0111115378669028,0.4745078759719117,3.27669418186682,3.274992957869993,3398,3421.719446159739,3247.573154633618,5.0,0.7290510634684488,0.460187258816527,18.70260465786848,0.7756086965195478,0.0215599459746072,0.0627856285347068,0.215166199676012,0.4089398287738917,1.1872548513518737,1.3188069697733624,24.661188211178185,25.615449640010542,1.1695146314283136,1.2657182811199412,24.678928431101745,25.668538328663967,1.1049724774689764,1.232215907270323,24.743470585061083,25.702040702513585,2.2042812674457,0.1472821160169368,-0.9585701174525028
1118,NGC1427a,5547,1988.496756835582,3247.5185536219647,55.05513534922365,-35.61758409383094,4.0,0.503163218379954,0.4964594854226078,43.57274974104396,0.1626924960902398,0.0240752061507139,0.0298224814001676,0.1068431325081702,0.2567452290330116,3396,1987.6810728922128,3246.6325359153466,13.0,0.9790101969311904,0.8620840770406698,51.62435307295108,0.4739216703098532,0.0083032364965112,0.0933846536774736,0.468071618153481,0.8444233610937918,1.6573930751174188,1.536203596114298,27.026442062435777,24.92826235026073,1.438100273141849,1.3810062318447436,27.245734864411347,25.08345971453029,1.231524739852066,1.1626911657552448,27.45231039770113,25.301774780619787,0.0,0.0,2.150535617081342
1119,NGC1427a,5550,3252.531729908199,3249.419483728157,55.03353913461043,-35.61755853039016,33.0,1.2855274432091426,1.19619872766019,39.94001299844251,0.3662613759680062,0.0035682948986648,0.344494184059136,2.708890330725472,2.8015862980998474,3401,3251.780899844908,3249.1031509709346,11.0,0.9756967754193404,0.7478893918993754,-16.067332444615054,0.6422225169687221,0.0151349314645633,0.1036847442109957,0.44615290671798,0.7123948385880864,1.1875233167778203,1.3784549627832838,24.858545758841416,25.20061020483783,1.1494370795537885,1.350960999042201,24.896631996065448,25.228104168578916,1.0773473306702677,1.1660396771165509,24.96872174494897,25.41302549050456,2.472372952260172,0.1287628192197789,-0.4443037455555938
1120,NGC1427a,5551,3436.0,3247.478672045052,55.03040455113951,-35.617585287523205,2.0,0.5769561956258707,0.2886751345948128,90.0,0.8658281426201887,0.0316969889869723,0.0340861269903529,0.0657831159773253,0.3251083907985871,3399,3435.0,3247.494716489754,2.0,0.5773260931681616,0.2886751345948128,90.0,0.8660133149300282,0.0251328331317698,0.0256116447339998,0.0507444778657696,0.2861990381021072,1.627009249365333,1.900676016348409,27.03469531505246,25.765219875066176,1.6189680149158754,1.6546086939688571,27.04273654950192,26.01128719744573,1.4844497163683137,1.60250310028281,27.17725484804948,26.063392791131776,0.0,0.0,1.1138620569177036
1121,NGC1427a,5560,3209.4270321946724,3252.483683648849,55.034275587096325,-35.61751600693674,32.0,1.3248885161194843,1.3121386093682708,36.89930890469893,0.1383985267491592,0.0083734412032053,0.1489512260935269,1.5966119728149115,1.8806172202726403,3405,3208.54011934262,3252.1716613136,26.0,1.5539731745198482,1.0865494811063787,-21.74590287001128,0.7149189237293082,0.0101064123343522,0.0904312594920149,0.8782606947726933,1.1537398206874403,1.6579091710531344,1.9391963367121328,25.26676652207209,24.651014034804035,1.5443320246086216,1.8185449427062887,25.3803436685166,24.77166542880988,1.3895990489152936,1.5781621750188355,25.535076644209926,25.01204819649733,2.92397546035813,0.200363740595619,0.5230284477125942
1122,NGC1427a,5562,1576.1101901086304,3251.496542411724,55.0621810159221,-35.61752773675436,6.0,0.7767182250699941,0.4999849385540495,0.1698906462822108,0.765265565756993,0.0096026122668363,0.0439395993389684,0.1797774324676543,0.2908516591836658,3404,1575.3773706239317,3250.8352650279385,9.0,0.8959982347529085,0.6869263465904212,19.52828348281381,0.6420528503715116,0.0072665926836944,0.0561386194255686,0.2979259986835392,0.4680507976028515,0.8765720363044665,0.9756081639379204,27.574950582213592,26.01863869557134,0.9690338918033384,1.1428672520600711,27.48248872671472,25.85137960744919,1.0029359473302293,1.1362823984159682,27.44858667118783,25.85796446109329,2.272952883882896,0.2039424102846248,1.590622210094537
1123,NGC1427a,5563,1844.1918000034336,3253.665360568164,55.05760080051843,-35.61749838071904,28.0,1.3137478984583644,1.1892058708964874,36.32876224726818,0.424983770818688,0.0017565446554011,0.1540458720543033,1.3059016132018786,1.5003967618046186,3406,1843.7089980879664,3252.0193479285053,7.0,0.7310631507256716,0.6827027462318263,89.91427730467613,0.3576669565258379,0.018561218723428,0.0373864176308945,0.1837543905545652,0.3845538849431436,1.4660636803380989,1.7775045053930398,25.603432496782315,25.61763097476181,1.4272051181491534,1.6664230942891471,25.64229105897126,25.728712385865705,1.3134899247242409,1.5079996900630943,25.756006252396173,25.887135790091754,2.410245735424187,0.1321516077297874,-0.1311295376955819
1124,NGC1427a,5568,3461.507298603806,3253.471257426622,55.02996876539416,-35.61750202313549,4.0,0.5007708273239265,0.4983464390957483,-35.69666419193523,0.0982811647164408,0.0270555443458348,0.0405323113292052,0.1357201477994484,0.2371921668429214,3408,3461.0715642099844,3253.4970531804124,6.0,0.7737244555870398,0.4997705479275251,-1.4412776596328771,0.7633980537129338,0.0099637550979073,0.0596531297395817,0.2162536968058355,0.3189406151998898,1.149514427330896,1.0357173895579912,27.241722662282505,25.92336172211004,1.0663672824093098,1.030687714092149,27.324869807204088,25.928391397575883,1.024577105706996,0.9329814613828552,27.3666599839064,26.026097650285177,2.274623358604066,0.1960919187157878,1.3405623336212251
1125,NGC1427a,5573,1960.5500435818735,3257.6204091254576,55.05561279472639,-35.61744372821021,16.0,1.1717831469053148,0.9501745717087728,19.691618483625632,0.5852135810977154,0.0148434070595349,0.0440540132493897,0.4720796854222313,0.9178711402925758,3412,1960.0,3256.503717345613,2.0,0.5773383017563667,0.2886751345948128,-90.0,0.8660194198610831,0.029608143045841,0.0423738980295596,0.0719820410754006,0.3011189286068701,2.0004530847390214,1.694535906313643,26.218814462995912,25.803018046026438,1.839961351305778,1.574725066369858,26.379306196429155,25.92282888597022,1.615401587484829,1.2819545944145003,26.603865960250104,26.215599357925576,0.0,0.0,0.3882666023245278
1126,NGC1427a,5580,2908.767565294496,3259.82581122835,55.0394123926304,-35.61741415157894,28.0,1.244511245635282,1.1286367059530786,-44.89543153639829,0.4213641599575178,0.0081466794769716,0.3035048774465943,1.9483606395545976,2.045056034167337,3417,2908.0119039023925,3259.49452038075,6.0,0.7899352354139721,0.4999196136841178,0.6647626924898863,0.774265004159407,0.0218655339908412,0.0470650185605157,0.2018751190707695,0.4010630875850373,1.1540855977535749,1.7741856337813786,25.28578676937674,25.369570346081023,1.1563803734304834,1.5185624173617285,25.283491993699837,25.625193562500677,1.1075857206360524,1.2621250587448642,25.332286646494264,25.881630921117537,2.158785019068464,0.1320443402140422,-0.5493442746232731
1127,NGC1427a,5584,2962.8837407043334,3260.059118172137,55.038487812111306,-35.6174109059413,22.0,1.1308022949599583,1.0913319811269435,-46.09022576581576,0.2618989502777408,0.0090021523571026,0.2074549499890182,1.3771775092692864,1.5014169211101067,3418,2962.0,3259.519713688741,2.0,0.5770136079933984,0.2886751345948128,90.0,0.8658569094466301,0.0331914204869092,0.042208688422616,0.0754001089095252,0.3036885937268535,1.2811339040874363,1.7753517499951172,25.52014744005213,25.62244913344674,1.253208994092045,1.673212626107155,25.548072350047526,25.724588257334705,1.1674377529231812,1.3252380866972722,25.63384359121639,26.072562796744585,2.3834247206823926,0.2220651699240775,-0.4387192055281943
1128,NGC1427a,5598,2546.9602847959163,3265.4293903512444,55.04559390236992,-35.61733617780511,35.0,1.5033486416850668,1.273287126516048,-37.63796867482357,0.5316450017931081,0.0089709750645014,0.1928067290833159,2.15225159921011,2.5567906973109693,3424,2546.0791855003363,3264.931510509719,7.0,0.8973657849598967,0.5286730172602572,-44.5108794390026,0.8080318396693932,0.0216623230595634,0.0457553065707989,0.2189463706243261,0.4749290966008039,1.793806477572108,2.074975022316984,25.00739842710767,25.374229572957347,1.70405729751333,1.865319070748349,25.09714760716645,25.583885524525986,1.5347432270940722,1.598492028313366,25.266461677585703,25.850712566960965,3.0653711934462944,0.5330560463773462,-0.5842508893752587
1129,NGC1427a,5599,2749.333303747229,3266.224637050479,55.04213634103162,-35.61732525344643,20.0,1.1086899090055564,1.0458661688258517,-40.82877697811133,0.3318415020820971,0.0044001428202964,0.1234842776926511,0.8667373537236265,0.913943376531189,3425,2749.465724855355,3265.514247321107,4.0,0.5015095601722139,0.4971019908999428,-51.37774106516228,0.1322874514315914,0.021092792593016,0.0457503593434994,0.1254279018082938,0.1266335978053726,1.1908040429184013,-0.2715947888552961,26.065767923090768,27.648839392486497,1.1811109908653885,0.2355199627473219,26.07546097514378,27.14172464088388,1.1134405464769372,0.5214546329535494,26.14313141953223,26.85578997067765,2.445487682773622,0.0607712613697548,-0.7126585511454202
1130,NGC1427a,5606,2376.250762821648,3267.5914936002705,55.04851048634259,-35.61730596994431,5.0,0.7252070295649021,0.4606538607878139,-17.834363566687497,0.7723450223134963,0.0246189558579112,0.0384895407177527,0.1579536266116503,0.3342464522590281,3428,2376.114100892343,3267.675736461853,7.0,0.8657327059060088,0.5952591268880467,29.88013304215052,0.7261101259792396,0.0184995261250001,0.045706657096028,0.1941485988463343,0.5786219388418308,1.315038110295106,1.7394386121932257,27.20905934734092,25.59144010493957,1.2995723513753603,1.5841891323670223,27.224525106260664,25.74668958476577,1.1598362631949506,1.3290153718117883,27.364261194441077,26.00186334532101,2.546223505138608,0.3646665258336879,1.3623978491200646
1131,NGC1427a,5608,2905.1822717816226,3272.4031163733657,55.039473648109656,-35.61723946688627,102.0,1.9654830453310157,1.8449487960338176,60.883613971329765,0.3448045837970511,0.0084689740921852,0.8353787950186912,11.99418294646147,12.349998861716529,3430,2904.566099993669,3272.1144153481614,60.0,1.7523355307523938,1.6168605073775577,64.12830617583604,0.3855453691168685,0.0158827815278925,0.399941957983065,5.6199951034824975,6.367311043296805,1.769749643848492,1.86327969192374,23.37052686942171,22.944932642406503,1.6712616517780037,1.7727863475257024,23.4690148614922,23.035425986804544,1.4974837367686362,1.572576306057929,23.642792776501565,23.23563602827232,3.008085327161554,0.1346927816769267,0.4071567482292479
